categoria,nome_produto,preco_casanova,preco_medio_mercado,gap_pct
Jardim,Produto Jardim 114,827.46,736.75,12.31
Móveis,Produto Móveis 97,766.85,682.84,12.3
Outros,Produto Jardim 6,32.19,28.67,12.28
Jardim,Produto Jardim 93,230.38,205.2,12.27
Iluminação,Produto Iluminação 95,457.26,407.3,12.27
Cozinha,Produto Cozinha 129,796.69,709.68,12.26
Móveis,Produto Móveis 136,690.82,615.38,12.26
Móveis,Produto Móveis 18,821.3,731.88,12.22
Decoração,Produto Decoração 34,132.67,118.22,12.22
Banheiro,Produto Banheiro 57,791.3,705.16,12.22
Jardim,Produto Jardim 149,657.94,586.28,12.22
Banheiro,Produto Banheiro 144,403.77,359.88,12.2
Jardim,Produto Jardim 46,114.86,102.38,12.19
Decoração,Produto Decoração 61,689.21,614.49,12.16
Jardim,Produto Jardim 93,230.38,205.41,12.16
Iluminação,Produto Iluminação 100,755.72,673.78,12.16
Banheiro,Produto Banheiro 70,318.63,284.11,12.15
Iluminação,Produto Iluminação 81,322.1,287.2,12.15
Decoração,Produto Decoração 117,496.71,442.89,12.15
Jardim,Produto Jardim 121,800.28,713.55,12.15
Móveis,Produto Móveis 68,802.33,715.45,12.14
Banheiro,Produto Banheiro 103,521.37,464.91,12.14
Decoração,Produto Decoração 99,621.17,554.03,12.12
Decoração,Produto Decoração 99,621.17,554.0,12.12
Decoração,Produto Decoração 117,496.71,443.01,12.12
Iluminação,Produto Iluminação 82,544.0,485.23,12.11
Jardim,Produto Jardim 85,49.05,43.75,12.11
Jardim,Produto Jardim 66,363.54,324.3,12.1
Jardim,Produto Jardim 114,827.46,738.14,12.1
Móveis,Produto Móveis 136,690.82,616.31,12.09
Móveis,Produto Móveis 71,818.64,730.43,12.08
Iluminação,Produto Iluminação 81,322.1,287.43,12.06
Banheiro,Produto Banheiro 144,403.77,360.35,12.05
Banheiro,Produto Banheiro 70,318.63,284.38,12.04
Jardim,Produto Jardim 93,230.38,205.62,12.04
Banheiro,Produto Banheiro 22,43.71,39.03,11.99
Móveis,Produto Móveis 77,135.99,121.47,11.95
Iluminação,Produto Iluminação 100,755.72,675.07,11.95
Móveis,Produto Móveis 97,766.85,685.05,11.94
Jardim,Produto Jardim 120,553.97,494.87,11.94
Jardim,Produto Jardim 149,657.94,587.81,11.93
Móveis,Produto Móveis 35,77.25,69.02,11.92
Decoração,Produto Decoração 117,496.71,443.94,11.89
Móveis,Produto Móveis 68,802.33,717.17,11.87
Banheiro,Produto Banheiro 57,791.3,707.38,11.86
Banheiro,Produto Banheiro 57,791.3,707.57,11.83
Cozinha,Produto Cozinha 129,796.69,712.47,11.82
Banheiro,Produto Banheiro 144,403.77,361.09,11.82
Móveis,Produto Móveis 18,821.3,734.52,11.81
Jardim,Produto Jardim 7,710.09,635.17,11.8
Móveis,Produto Móveis 26,824.6,737.55,11.8
Jardim,Produto Jardim 92,787.12,704.04,11.8
Iluminação,Produto Iluminação 101,551.1,492.93,11.8
Outros,Produto Banheiro 3,145.28,129.96,11.79
Banheiro,Produto Banheiro 103,521.37,466.38,11.79
Decoração,Produto Decoração 64,698.04,624.47,11.78
Móveis,Produto Móveis 71,818.64,732.55,11.75
Móveis,Produto Móveis 37,19.61,17.55,11.74
Banheiro,Produto Banheiro 143,497.86,445.59,11.73
Iluminação,Produto Iluminação 95,457.26,409.28,11.72
Banheiro,Produto Banheiro 103,521.37,466.67,11.72
Decoração,Produto Decoração 64,698.04,624.86,11.71
Móveis,Produto Móveis 35,77.25,69.16,11.7
Banheiro,Produto Banheiro 103,521.37,466.77,11.7
Outros,Produto Banheiro 3,145.28,130.08,11.69
Iluminação,Produto Iluminação 81,322.1,288.41,11.68
Banheiro,Produto Banheiro 58,543.89,487.08,11.66
Iluminação,Produto Iluminação 8,166.82,149.41,11.65
Móveis,Produto Móveis 18,821.3,735.59,11.65
Banheiro,Produto Banheiro 29,88.89,79.62,11.64
Móveis,Produto Móveis 97,766.85,686.89,11.64
Decoração,Produto Decoração 61,689.21,617.45,11.62
Iluminação,Produto Iluminação 101,551.1,493.74,11.62
Decoração,Produto Decoração 64,698.04,625.46,11.6
Móveis,Produto Móveis 77,135.99,121.87,11.59
Decoração,Produto Decoração 126,260.86,233.79,11.58
Móveis,Produto Móveis 37,19.61,17.58,11.55
Móveis,Produto Móveis 88,553.72,496.38,11.55
Banheiro,Produto Banheiro 22,43.71,39.19,11.53
Móveis,Produto Móveis 35,77.25,69.27,11.52
Jardim,Produto Jardim 114,827.46,741.98,11.52
Banheiro,Produto Banheiro 143,497.86,446.52,11.5
Iluminação,Produto Iluminação 8,166.82,149.63,11.49
Banheiro,Produto Banheiro 70,318.63,285.78,11.49
Decoração,Produto Decoração 64,698.04,626.18,11.48
Decoração,Produto Decoração 99,621.17,557.24,11.47
Banheiro,Produto Banheiro 32,707.0,634.3,11.46
Jardim,Produto Jardim 46,114.86,103.05,11.46
Decoração,Produto Decoração 123,27.91,25.04,11.46
Banheiro,Produto Banheiro 32,707.0,634.34,11.45
Móveis,Produto Móveis 26,824.6,739.95,11.44
Móveis,Produto Móveis 71,818.64,734.63,11.44
Móveis,Produto Móveis 136,690.82,619.9,11.44
Móveis,Produto Móveis 136,690.82,619.97,11.43
Outros,Produto Jardim 6,32.19,28.89,11.42
Outros,Produto Jardim 6,32.19,28.89,11.42
Jardim,Produto Jardim 98,298.09,267.54,11.42
Decoração,Produto Decoração 64,698.04,626.55,11.41
Iluminação,Produto Iluminação 82,544.0,488.27,11.41
Outros,Produto Banheiro 3,145.28,130.43,11.39
Cozinha,Produto Cozinha 131,528.53,474.48,11.39
Banheiro,Produto Banheiro 143,497.86,446.96,11.39
Banheiro,Produto Banheiro 29,88.89,79.81,11.38
Jardim,Produto Jardim 98,298.09,267.64,11.38
Jardim,Produto Jardim 120,553.97,497.36,11.38
Jardim,Produto Jardim 114,827.46,743.06,11.36
Jardim,Produto Jardim 120,553.97,497.46,11.36
Móveis,Produto Móveis 26,824.6,740.55,11.35
Cozinha,Produto Cozinha 54,357.67,321.21,11.35
Jardim,Produto Jardim 93,230.38,206.89,11.35
Banheiro,Produto Banheiro 103,521.37,468.23,11.35
Jardim,Produto Jardim 98,298.09,267.77,11.32
Iluminação,Produto Iluminação 95,457.26,410.82,11.3
Jardim,Produto Jardim 46,114.86,103.22,11.28
Móveis,Produto Móveis 77,135.99,122.2,11.28
Jardim,Produto Jardim 98,298.09,267.88,11.28
Jardim,Produto Jardim 93,230.38,207.05,11.27
Banheiro,Produto Banheiro 144,403.77,362.95,11.25
Móveis,Produto Móveis 68,802.33,721.28,11.24
Móveis,Produto Móveis 37,19.61,17.63,11.23
Decoração,Produto Decoração 34,132.67,119.3,11.21
Cozinha,Produto Cozinha 54,357.67,321.63,11.21
Iluminação,Produto Iluminação 96,92.74,83.4,11.2
Móveis,Produto Móveis 97,766.85,689.68,11.19
Banheiro,Produto Banheiro 32,707.0,635.94,11.17
Decoração,Produto Decoração 99,621.17,558.74,11.17
Banheiro,Produto Banheiro 144,403.77,363.27,11.15
Banheiro,Produto Banheiro 32,707.0,636.14,11.14
Móveis,Produto Móveis 71,818.64,736.56,11.14
Iluminação,Produto Iluminação 100,755.72,680.02,11.13
Banheiro,Produto Banheiro 124,372.53,335.21,11.13
Jardim,Produto Jardim 149,657.94,592.05,11.13
Iluminação,Produto Iluminação 82,544.0,489.55,11.12
Banheiro,Produto Banheiro 22,43.71,39.34,11.11
Outros,Produto Banheiro 3,145.28,130.77,11.1
Banheiro,Produto Banheiro 32,707.0,636.38,11.1
Banheiro,Produto Banheiro 143,497.86,448.11,11.1
Decoração,Produto Decoração 64,698.04,628.44,11.08
Móveis,Produto Móveis 18,821.3,739.46,11.07
Banheiro,Produto Banheiro 144,403.77,363.54,11.07
Decoração,Produto Decoração 99,621.17,559.34,11.05
Jardim,Produto Jardim 121,800.28,720.64,11.05
Móveis,Produto Móveis 35,77.25,69.57,11.04
Iluminação,Produto Iluminação 82,544.0,489.9,11.04
Jardim,Produto Jardim 114,827.46,745.17,11.04
Banheiro,Produto Banheiro 124,372.53,335.51,11.03
Jardim,Produto Jardim 149,657.94,592.6,11.03
Banheiro,Produto Banheiro 22,43.71,39.37,11.02
Móveis,Produto Móveis 35,77.25,69.58,11.02
Jardim,Produto Jardim 120,553.97,499.09,11.0
Jardim,Produto Jardim 121,800.28,721.0,11.0
Móveis,Produto Móveis 37,19.61,17.67,10.98
Decoração,Produto Decoração 64,698.04,628.97,10.98
Jardim,Produto Jardim 149,657.94,592.83,10.98
Jardim,Produto Jardim 46,114.86,103.51,10.97
Cozinha,Produto Cozinha 74,523.99,472.17,10.97
Iluminação,Produto Iluminação 82,544.0,490.21,10.97
Decoração,Produto Decoração 123,27.91,25.15,10.97
Jardim,Produto Jardim 66,363.54,327.64,10.96
Jardim,Produto Jardim 149,657.94,592.97,10.96
Jardim,Produto Jardim 114,827.46,745.88,10.94
Iluminação,Produto Iluminação 81,322.1,290.37,10.93
Iluminação,Produto Iluminação 81,322.1,290.36,10.93
Jardim,Produto Jardim 114,827.46,746.04,10.91
Jardim,Produto Jardim 46,114.86,103.57,10.9
Banheiro,Produto Banheiro 32,707.0,637.71,10.87
Móveis,Produto Móveis 88,553.72,499.44,10.87
Jardim,Produto Jardim 149,657.94,593.55,10.85
Móveis,Produto Móveis 18,821.3,741.17,10.81
Jardim,Produto Jardim 85,49.05,44.27,10.8
Banheiro,Produto Banheiro 103,521.37,470.68,10.77
Outros,Produto Decoração 5,516.93,466.71,10.76
Jardim,Produto Jardim 149,657.94,594.03,10.76
Móveis,Produto Móveis 76,773.4,698.3,10.75
Jardim,Produto Jardim 85,49.05,44.29,10.75
Móveis,Produto Móveis 26,824.6,744.65,10.74
Cozinha,Produto Cozinha 54,357.67,322.99,10.74
Jardim,Produto Jardim 93,230.38,208.05,10.73
Móveis,Produto Móveis 97,766.85,692.63,10.72
Banheiro,Produto Banheiro 58,543.89,491.28,10.71
Cozinha,Produto Cozinha 74,523.99,473.44,10.68
Banheiro,Produto Banheiro 143,497.86,449.95,10.65
Móveis,Produto Móveis 136,690.82,624.38,10.64
Outros,Produto Banheiro 3,145.28,131.32,10.63
Decoração,Produto Decoração 99,621.17,561.5,10.63
Móveis,Produto Móveis 18,821.3,742.47,10.62
Iluminação,Produto Iluminação 100,755.72,683.19,10.62
Móveis,Produto Móveis 71,818.64,740.27,10.59
Decoração,Produto Decoração 64,698.04,631.24,10.58
Decoração,Produto Decoração 64,698.04,631.39,10.56
Banheiro,Produto Banheiro 22,43.71,39.54,10.55
Jardim,Produto Jardim 92,787.12,712.03,10.55
Jardim,Produto Jardim 120,553.97,501.09,10.55
Decoração,Produto Decoração 34,132.67,120.02,10.54
Jardim,Produto Jardim 120,553.97,501.13,10.54
Decoração,Produto Decoração 117,496.71,449.38,10.53
Banheiro,Produto Banheiro 124,372.53,337.05,10.53
Decoração,Produto Decoração 126,260.86,236.05,10.51
Cozinha,Produto Cozinha 131,528.53,478.36,10.49
Iluminação,Produto Iluminação 96,92.74,83.95,10.47
Banheiro,Produto Banheiro 143,497.86,450.69,10.47
Decoração,Produto Decoração 34,132.67,120.12,10.45
Móveis,Produto Móveis 68,802.33,726.4,10.45
Decoração,Produto Decoração 61,689.21,624.08,10.44
Iluminação,Produto Iluminação 82,544.0,492.56,10.44
Móveis,Produto Móveis 76,773.4,700.37,10.43
Jardim,Produto Jardim 121,800.28,724.68,10.43
Móveis,Produto Móveis 68,802.33,726.7,10.41
Decoração,Produto Decoração 123,27.91,25.28,10.4
Banheiro,Produto Banheiro 137,739.01,669.38,10.4
Outros,Produto Decoração 5,516.93,468.32,10.38
Jardim,Produto Jardim 92,787.12,713.09,10.38
Jardim,Produto Jardim 98,298.09,270.06,10.38
Móveis,Produto Móveis 97,766.85,694.78,10.37
Banheiro,Produto Banheiro 124,372.53,337.52,10.37
Móveis,Produto Móveis 136,690.82,625.93,10.37
Decoração,Produto Decoração 117,496.71,450.07,10.36
Banheiro,Produto Banheiro 144,403.77,365.96,10.33
Cozinha,Produto Cozinha 129,796.69,722.3,10.3
Móveis,Produto Móveis 68,802.33,727.67,10.26
Iluminação,Produto Iluminação 95,457.26,414.72,10.26
Jardim,Produto Jardim 98,298.09,270.35,10.26
Jardim,Produto Jardim 28,514.25,466.52,10.23
Iluminação,Produto Iluminação 82,544.0,493.5,10.23
Cozinha,Produto Cozinha 129,796.69,722.83,10.22
Decoração,Produto Decoração 34,132.67,120.38,10.21
Iluminação,Produto Iluminação 82,544.0,493.62,10.21
Banheiro,Produto Banheiro 58,543.89,493.53,10.2
Jardim,Produto Jardim 7,710.09,644.45,10.19
Decoração,Produto Decoração 64,698.04,633.87,10.12
Cozinha,Produto Cozinha 75,57.98,52.66,10.1
Banheiro,Produto Banheiro 22,43.71,39.71,10.07
Banheiro,Produto Banheiro 70,318.63,289.54,10.05
Iluminação,Produto Iluminação 82,544.0,494.33,10.05
Jardim,Produto Jardim 120,553.97,503.38,10.05
Móveis,Produto Móveis 26,824.6,749.34,10.04
Móveis,Produto Móveis 97,766.85,696.9,10.04
Jardim,Produto Jardim 28,514.25,467.39,10.03
Jardim,Produto Jardim 93,230.38,209.38,10.03
Jardim,Produto Jardim 121,800.28,727.31,10.03
Banheiro,Produto Banheiro 58,543.89,494.35,10.02
Móveis,Produto Móveis 68,802.33,729.45,9.99
Cozinha,Produto Cozinha 131,528.53,480.53,9.99
Móveis,Produto Móveis 26,824.6,749.77,9.98
Móveis,Produto Móveis 136,690.82,628.19,9.97
Jardim,Produto Jardim 114,827.46,752.53,9.96
Móveis,Produto Móveis 136,690.82,628.25,9.96
Jardim,Produto Jardim 28,514.25,467.71,9.95
Banheiro,Produto Banheiro 32,707.0,643.13,9.93
Jardim,Produto Jardim 7,710.09,646.15,9.9
Banheiro,Produto Banheiro 70,318.63,289.98,9.88
Jardim,Produto Jardim 98,298.09,271.31,9.87
Jardim,Produto Jardim 28,514.25,468.14,9.85
Jardim,Produto Jardim 66,363.54,330.95,9.85
Móveis,Produto Móveis 88,553.72,504.09,9.85
Jardim,Produto Jardim 121,800.28,728.58,9.84
Decoração,Produto Decoração 99,621.17,565.59,9.83
Outros,Produto Banheiro 3,145.28,132.3,9.81
Banheiro,Produto Banheiro 124,372.53,339.28,9.8
Cozinha,Produto Cozinha 54,357.67,325.86,9.76
Banheiro,Produto Banheiro 103,521.37,475.02,9.76
Cozinha,Produto Cozinha 54,357.67,326.01,9.71
Decoração,Produto Decoração 34,132.67,120.94,9.7
Decoração,Produto Decoração 61,689.21,628.26,9.7
Jardim,Produto Jardim 28,514.25,468.85,9.68
Banheiro,Produto Banheiro 58,543.89,495.88,9.68
Móveis,Produto Móveis 97,766.85,699.21,9.67
Cozinha,Produto Cozinha 129,796.69,726.45,9.67
Outros,Produto Jardim 6,32.19,29.36,9.64
Jardim,Produto Jardim 7,710.09,647.67,9.64
Decoração,Produto Decoração 123,27.91,25.47,9.58
Decoração,Produto Decoração 34,132.67,121.09,9.56
Iluminação,Produto Iluminação 100,755.72,689.85,9.55
Decoração,Produto Decoração 61,689.21,629.2,9.54
Decoração,Produto Decoração 34,132.67,121.14,9.52
Jardim,Produto Jardim 120,553.97,505.83,9.52
Outros,Produto Banheiro 3,145.28,132.68,9.5
Jardim,Produto Jardim 120,553.97,505.93,9.5
Decoração,Produto Decoração 126,260.86,238.25,9.49
Móveis,Produto Móveis 18,821.3,750.15,9.48
Jardim,Produto Jardim 149,657.94,601.06,9.46
Decoração,Produto Decoração 123,27.91,25.5,9.45
Decoração,Produto Decoração 99,621.17,567.61,9.44
Móveis,Produto Móveis 26,824.6,753.54,9.43
Banheiro,Produto Banheiro 70,318.63,291.22,9.41
Jardim,Produto Jardim 121,800.28,731.42,9.41
Jardim,Produto Jardim 121,800.28,731.52,9.4
Jardim,Produto Jardim 149,657.94,601.4,9.4
Jardim,Produto Jardim 7,710.09,649.14,9.39
Jardim,Produto Jardim 98,298.09,272.52,9.38
Cozinha,Produto Cozinha 54,357.67,327.04,9.37
Decoração,Produto Decoração 34,132.67,121.31,9.36
Móveis,Produto Móveis 136,690.82,631.71,9.36
Outros,Produto Decoração 5,516.93,472.71,9.35
Decoração,Produto Decoração 61,689.21,630.26,9.35
Banheiro,Produto Banheiro 137,739.01,675.87,9.34
Jardim,Produto Jardim 149,657.94,601.72,9.34
Jardim,Produto Jardim 40,314.32,287.51,9.32
Móveis,Produto Móveis 88,553.72,506.5,9.32
Decoração,Produto Decoração 126,260.86,238.62,9.32
Decoração,Produto Decoração 64,698.04,638.6,9.31
Móveis,Produto Móveis 68,802.33,733.99,9.31
Banheiro,Produto Banheiro 144,403.77,369.39,9.31
Jardim,Produto Jardim 28,514.25,470.59,9.28
Banheiro,Produto Banheiro 137,739.01,676.23,9.28
Outros,Produto Jardim 6,32.19,29.46,9.27
Banheiro,Produto Banheiro 124,372.53,340.94,9.27
Jardim,Produto Jardim 28,514.25,470.73,9.25
Decoração,Produto Decoração 61,689.21,630.87,9.25
Jardim,Produto Jardim 7,710.09,650.03,9.24
Iluminação,Produto Iluminação 100,755.72,691.79,9.24
Jardim,Produto Jardim 92,787.12,720.62,9.23
Decoração,Produto Decoração 117,496.71,454.72,9.23
Banheiro,Produto Banheiro 124,372.53,341.19,9.19
Banheiro,Produto Banheiro 58,543.89,498.17,9.18
Jardim,Produto Jardim 91,299.79,274.61,9.17
Iluminação,Produto Iluminação 100,755.72,692.23,9.17
Móveis,Produto Móveis 26,824.6,755.44,9.15
Banheiro,Produto Banheiro 32,707.0,647.74,9.15
Banheiro,Produto Banheiro 124,372.53,341.31,9.15
Iluminação,Produto Iluminação 96,92.74,84.98,9.13
Iluminação,Produto Iluminação 96,92.74,84.99,9.12
Móveis,Produto Móveis 136,690.82,633.06,9.12
Decoração,Produto Decoração 123,27.91,25.58,9.11
Jardim,Produto Jardim 28,514.25,471.34,9.1
Jardim,Produto Jardim 40,314.32,288.14,9.09
Móveis,Produto Móveis 77,135.99,124.67,9.08
Iluminação,Produto Iluminação 96,92.74,85.02,9.08
Cozinha,Produto Cozinha 131,528.53,484.63,9.06
Iluminação,Produto Iluminação 96,92.74,85.04,9.05
Banheiro,Produto Banheiro 137,739.01,677.67,9.05
Banheiro,Produto Banheiro 22,43.71,40.09,9.03
Cozinha,Produto Cozinha 75,57.98,53.19,9.01
Decoração,Produto Decoração 34,132.67,121.72,9.0
Iluminação,Produto Iluminação 95,457.26,419.51,9.0
Decoração,Produto Decoração 34,132.67,121.73,8.99
Jardim,Produto Jardim 92,787.12,722.25,8.98
Outros,Produto Banheiro 3,145.28,133.32,8.97
Decoração,Produto Decoração 34,132.67,121.75,8.97
Móveis,Produto Móveis 97,766.85,703.76,8.96
Jardim,Produto Jardim 92,787.12,722.45,8.95
Iluminação,Produto Iluminação 95,457.26,419.68,8.95
Banheiro,Produto Banheiro 103,521.37,478.54,8.95
Banheiro,Produto Banheiro 103,521.37,478.6,8.94
Jardim,Produto Jardim 85,49.05,45.04,8.9
Jardim,Produto Jardim 91,299.79,275.28,8.9
Jardim,Produto Jardim 114,827.46,759.86,8.9
Banheiro,Produto Banheiro 58,543.89,499.59,8.87
Decoração,Produto Decoração 119,249.44,229.12,8.87
Móveis,Produto Móveis 68,802.33,737.0,8.86
Cozinha,Produto Cozinha 33,249.58,229.28,8.85
Cozinha,Produto Cozinha 54,357.67,328.59,8.85
Banheiro,Produto Banheiro 70,318.63,292.75,8.84
Jardim,Produto Jardim 98,298.09,273.89,8.84
Decoração,Produto Decoração 122,778.91,715.63,8.84
Jardim,Produto Jardim 66,363.54,334.03,8.83
Banheiro,Produto Banheiro 103,521.37,479.05,8.83
Cozinha,Produto Cozinha 75,57.98,53.28,8.82
Banheiro,Produto Banheiro 22,43.71,40.17,8.81
Cozinha,Produto Cozinha 131,528.53,485.72,8.81
Iluminação,Produto Iluminação 82,544.0,500.0,8.8
Jardim,Produto Jardim 93,230.38,211.75,8.8
Banheiro,Produto Banheiro 124,372.53,342.42,8.79
Iluminação,Produto Iluminação 95,457.26,420.34,8.78
Banheiro,Produto Banheiro 143,497.86,457.77,8.76
Outros,Produto Jardim 6,32.19,29.6,8.75
Jardim,Produto Jardim 40,314.32,289.04,8.75
Cozinha,Produto Cozinha 54,357.67,328.89,8.75
Jardim,Produto Jardim 66,363.54,334.3,8.75
Decoração,Produto Decoração 99,621.17,571.2,8.75
Banheiro,Produto Banheiro 143,497.86,457.8,8.75
Jardim,Produto Jardim 120,553.97,509.5,8.73
Jardim,Produto Jardim 40,314.32,289.12,8.72
Decoração,Produto Decoração 99,621.17,571.35,8.72
Decoração,Produto Decoração 117,496.71,456.92,8.71
Banheiro,Produto Banheiro 137,739.01,679.85,8.7
Banheiro,Produto Banheiro 144,403.77,371.44,8.7
Jardim,Produto Jardim 121,800.28,736.28,8.69
Banheiro,Produto Banheiro 103,521.37,479.74,8.68
Jardim,Produto Jardim 120,553.97,509.82,8.66
Banheiro,Produto Banheiro 22,43.71,40.23,8.65
Banheiro,Produto Banheiro 22,43.71,40.23,8.65
Iluminação,Produto Iluminação 100,755.72,695.57,8.65
Móveis,Produto Móveis 26,824.6,759.0,8.64
Cozinha,Produto Cozinha 54,357.67,329.24,8.64
Decoração,Produto Decoração 61,689.21,634.41,8.64
Banheiro,Produto Banheiro 144,403.77,371.65,8.64
Jardim,Produto Jardim 7,710.09,653.8,8.61
Jardim,Produto Jardim 40,314.32,289.39,8.61
Cozinha,Produto Cozinha 125,819.62,754.7,8.6
Decoração,Produto Decoração 99,621.17,572.04,8.59
Outros,Produto Jardim 6,32.19,29.65,8.57
Móveis,Produto Móveis 68,802.33,739.01,8.57
Jardim,Produto Jardim 98,298.09,274.6,8.55
Banheiro,Produto Banheiro 22,43.71,40.27,8.54
Decoração,Produto Decoração 122,778.91,717.63,8.54
Banheiro,Produto Banheiro 124,372.53,343.29,8.52
Decoração,Produto Decoração 34,132.67,122.29,8.49
Iluminação,Produto Iluminação 95,457.26,421.57,8.47
Cozinha,Produto Cozinha 33,249.58,230.11,8.46
Cozinha,Produto Cozinha 75,57.98,53.46,8.45
Outros,Produto Banheiro 3,145.28,134.05,8.38
Iluminação,Produto Iluminação 27,799.48,737.74,8.37
Cozinha,Produto Cozinha 131,528.53,487.69,8.37
Móveis,Produto Móveis 136,690.82,637.45,8.37
Iluminação,Produto Iluminação 95,457.26,422.01,8.35
Cozinha,Produto Cozinha 74,523.99,483.67,8.34
Jardim,Produto Jardim 93,230.38,212.67,8.33
Jardim,Produto Jardim 120,553.97,511.39,8.33
Jardim,Produto Jardim 93,230.38,212.68,8.32
Iluminação,Produto Iluminação 95,457.26,422.12,8.32
Móveis,Produto Móveis 18,821.3,758.31,8.31
Jardim,Produto Jardim 66,363.54,335.67,8.3
Decoração,Produto Decoração 61,689.21,636.43,8.29
Jardim,Produto Jardim 121,800.28,739.04,8.29
Banheiro,Produto Banheiro 144,403.77,372.86,8.29
Banheiro,Produto Banheiro 113,236.44,218.36,8.28
Cozinha,Produto Cozinha 131,528.53,488.12,8.28
Banheiro,Produto Banheiro 58,543.89,502.33,8.27
Cozinha,Produto Cozinha 75,57.98,53.55,8.27
Jardim,Produto Jardim 121,800.28,739.21,8.26
Cozinha,Produto Cozinha 129,796.69,735.91,8.26
Cozinha,Produto Cozinha 75,57.98,53.56,8.25
Decoração,Produto Decoração 126,260.86,240.98,8.25
Jardim,Produto Jardim 40,314.32,290.4,8.24
Jardim,Produto Jardim 93,230.38,212.92,8.2
Decoração,Produto Decoração 122,778.91,719.91,8.2
Banheiro,Produto Banheiro 22,43.71,40.4,8.19
Móveis,Produto Móveis 88,553.72,511.85,8.18
Cozinha,Produto Cozinha 74,523.99,484.41,8.17
Cozinha,Produto Cozinha 129,796.69,736.59,8.16
Decoração,Produto Decoração 99,621.17,574.35,8.15
Móveis,Produto Móveis 18,821.3,759.79,8.1
Cozinha,Produto Cozinha 74,523.99,484.75,8.09
Jardim,Produto Jardim 91,299.79,277.36,8.09
Banheiro,Produto Banheiro 58,543.89,503.22,8.08
Móveis,Produto Móveis 88,553.72,512.34,8.08
Banheiro,Produto Banheiro 144,403.77,373.6,8.08
Jardim,Produto Jardim 92,787.12,728.31,8.07
Móveis,Produto Móveis 18,821.3,760.12,8.05
Decoração,Produto Decoração 99,621.17,574.9,8.05
Móveis,Produto Móveis 26,824.6,763.33,8.03
Outros,Produto Decoração 5,516.93,478.55,8.02
Decoração,Produto Decoração 123,27.91,25.84,8.01
Decoração,Produto Decoração 61,689.21,638.18,8.0
Cozinha,Produto Cozinha 74,523.99,485.23,7.99
Banheiro,Produto Banheiro 106,657.47,608.86,7.98
Jardim,Produto Jardim 114,827.46,766.51,7.95
Banheiro,Produto Banheiro 32,707.0,654.99,7.94
Decoração,Produto Decoração 122,778.91,721.71,7.93
Decoração,Produto Decoração 123,27.91,25.86,7.93
Banheiro,Produto Banheiro 70,318.63,295.25,7.92
Iluminação,Produto Iluminação 100,755.72,700.23,7.92
Banheiro,Produto Banheiro 144,403.77,374.22,7.9
Móveis,Produto Móveis 18,821.3,761.22,7.89
Iluminação,Produto Iluminação 27,799.48,741.08,7.88
Cozinha,Produto Cozinha 33,249.58,231.36,7.88
Decoração,Produto Decoração 119,249.44,231.22,7.88
Móveis,Produto Móveis 136,690.82,640.4,7.87
Iluminação,Produto Iluminação 82,544.0,504.45,7.84
Jardim,Produto Jardim 40,314.32,291.6,7.79
Móveis,Produto Móveis 97,766.85,711.41,7.79
Decoração,Produto Decoração 99,621.17,576.38,7.77
Decoração,Produto Decoração 119,249.44,231.46,7.77
Jardim,Produto Jardim 40,314.32,291.7,7.75
Jardim,Produto Jardim 98,298.09,276.66,7.75
Banheiro,Produto Banheiro 22,43.71,40.57,7.74
Móveis,Produto Móveis 88,553.72,513.92,7.74
Jardim,Produto Jardim 114,827.46,768.01,7.74
Outros,Produto Jardim 6,32.19,29.88,7.73
Jardim,Produto Jardim 92,787.12,730.62,7.73
Cozinha,Produto Cozinha 125,819.62,760.87,7.72
Outros,Produto Decoração 5,516.93,479.93,7.71
Cozinha,Produto Cozinha 75,57.98,53.83,7.71
Cozinha,Produto Cozinha 33,249.58,231.74,7.7
Jardim,Produto Jardim 40,314.32,291.9,7.68
Decoração,Produto Decoração 126,260.86,242.25,7.68
Decoração,Produto Decoração 119,249.44,231.69,7.66
Cozinha,Produto Cozinha 129,796.69,739.99,7.66
Cozinha,Produto Cozinha 75,57.98,53.86,7.65
Cozinha,Produto Cozinha 74,523.99,486.81,7.64
Decoração,Produto Decoração 31,339.55,315.49,7.63
Jardim,Produto Jardim 98,298.09,276.97,7.63
Jardim,Produto Jardim 7,710.09,659.79,7.62
Banheiro,Produto Banheiro 70,318.63,296.09,7.61
Jardim,Produto Jardim 92,787.12,731.54,7.6
Decoração,Produto Decoração 117,496.71,461.61,7.6
Decoração,Produto Decoração 123,27.91,25.94,7.59
Iluminação,Produto Iluminação 100,755.72,702.47,7.58
Iluminação,Produto Iluminação 100,755.72,702.57,7.57
Banheiro,Produto Banheiro 124,372.53,346.34,7.56
Decoração,Produto Decoração 31,339.55,315.7,7.55
Decoração,Produto Decoração 123,27.91,25.95,7.55
Banheiro,Produto Banheiro 106,657.47,611.35,7.54
Móveis,Produto Móveis 97,766.85,713.17,7.53
Outros,Produto Banheiro 3,145.28,135.17,7.48
Cozinha,Produto Cozinha 33,249.58,232.2,7.48
Cozinha,Produto Cozinha 54,357.67,332.79,7.48
Móveis,Produto Móveis 77,135.99,126.54,7.47
Decoração,Produto Decoração 126,260.86,242.72,7.47
Banheiro,Produto Banheiro 143,497.86,463.28,7.46
Móveis,Produto Móveis 77,135.99,126.6,7.42
Cozinha,Produto Cozinha 125,819.62,762.98,7.42
